Basic,Delux,Total,days_ago,datetime,Year,Month,WorkWeek
2,7,52,999,2017-02-18,2017,02,07
5,5,55,998,2017-02-19,2017,02,07
13,7,107,997,2017-02-20,2017,02,08
8,5,70,996,2017-02-21,2017,02,08
12,7,102,995,2017-02-22,2017,02,08
12,3,78,994,2017-02-23,2017,02,08
13,13,143,993,2017-02-24,2017,02,08
9,11,111,992,2017-02-25,2017,02,08
7,2,47,991,2017-02-26,2017,02,08
11,3,73,990,2017-02-27,2017,02,09
14,8,118,989,2017-02-28,2017,02,09
15,8,123,988,2017-03-01,2017,03,09
9,14,129,987,2017-03-02,2017,03,09
9,9,99,986,2017-03-03,2017,03,09
13,14,149,985,2017-03-04,2017,03,09
9,10,105,984,2017-03-05,2017,03,09
4,13,98,983,2017-03-06,2017,03,10
14,6,106,982,2017-03-07,2017,03,10
13,12,137,981,2017-03-08,2017,03,10
4,1,26,980,2017-03-09,2017,03,10
2,7,52,979,2017-03-10,2017,03,10
15,12,147,978,2017-03-11,2017,03,10
2,6,46,977,2017-03-12,2017,03,10
15,12,147,976,2017-03-13,2017,03,11
2,12,82,975,2017-03-14,2017,03,11
12,9,114,974,2017-03-15,2017,03,11
13,8,113,973,2017-03-16,2017,03,11
6,8,78,972,2017-03-17,2017,03,11
3,12,87,971,2017-03-18,2017,03,11
1,2,17,970,2017-03-19,2017,03,11
6,12,102,969,2017-03-20,2017,03,12
2,5,40,968,2017-03-21,2017,03,12
15,10,135,967,2017-03-22,2017,03,12
4,7,62,966,2017-03-23,2017,03,12
8,8,88,965,2017-03-24,2017,03,12
3,13,93,964,2017-03-25,2017,03,12
6,13,108,963,2017-03-26,2017,03,12
8,1,46,962,2017-03-27,2017,03,13
4,5,50,961,2017-03-28,2017,03,13
10,5,80,960,2017-03-29,2017,03,13
9,12,117,959,2017-03-30,2017,03,13
1,13,83,958,2017-03-31,2017,03,13
3,7,57,957,2017-04-01,2017,04,13
8,12,112,956,2017-04-02,2017,04,13
10,1,56,955,2017-04-03,2017,04,14
9,5,75,954,2017-04-04,2017,04,14
13,9,119,953,2017-04-05,2017,04,14
